Tick,Healthy,Sick,Recovered
978,419,746,335
979,416,747,337
980,415,748,337
981,413,750,337
982,410,750,340
983,409,751,340
984,408,749,343
985,408,748,344
986,408,745,347
987,405,747,348
988,405,746,349
989,402,747,351
990,401,747,352
991,400,747,353
992,398,747,355
993,396,748,356
994,395,748,357
995,395,748,357
996,394,748,358
997,393,746,361
998,391,748,361
999,390,749,361
1000,387,751,362
1001,386,750,364
1002,386,749,365
1003,384,749,367
1004,383,750,367
1005,381,750,369
1006,381,746,373
1007,379,747,374
1008,377,747,376
1009,376,745,379
1010,375,746,379
1011,374,746,380
1012,373,746,381
1013,373,745,382
1014,371,744,385
1015,370,744,386
1016,370,743,387
1017,367,745,388
1018,366,746,388
1019,362,750,388
1020,359,752,389
1021,359,751,390
1022,358,749,393
1023,356,750,394
1024,355,750,395
1025,354,749,397
1026,352,749,399
1027,350,750,400
1028,350,749,401
1029,348,751,401
1030,346,752,402
1031,344,753,403
1032,340,755,405
1033,339,755,406
1034,338,755,407
1035,337,756,407
1036,336,756,408
1037,333,758,409
1038,330,760,410
1039,330,758,412
1040,329,759,412
1041,327,757,416
1042,327,756,417
1043,325,757,418
1044,325,757,418
1045,324,756,420
1046,322,756,422
1047,321,754,425
1048,319,754,427
1049,318,755,427
1050,317,756,427
1051,315,758,427
1052,313,758,429
1053,311,758,431
1054,311,757,432
1055,311,755,434
1056,310,755,435
1057,310,755,435
1058,308,756,436
1059,306,757,437
1060,302,760,438
1061,302,759,439
1062,299,762,439
1063,299,762,439
1064,298,761,441
1065,296,761,443
1066,296,761,443
1067,296,761,443
1068,294,762,444
1069,292,764,444
1070,291,764,445
1071,289,766,445
1072,286,768,446
1073,282,770,448
1074,281,769,450
1075,279,769,452
1076,276,771,453
1077,276,770,454
1078,276,770,454
1079,274,770,456
1080,273,768,459
1081,272,769,459
1082,272,768,460
1083,272,768,460
1084,271,766,463
1085,269,768,463
1086,267,770,463
1087,267,770,463
1088,265,771,464
1089,263,773,464
1090,259,775,466
1091,259,775,466
1092,258,774,468
1093,257,775,468
1094,256,774,470
1095,256,773,471
1096,255,774,471
1097,254,773,473
1098,254,772,474
1099,253,773,474
1100,251,773,476
1101,250,773,477
1102,250,772,478
1103,249,772,479
1104,247,772,481
1105,246,773,481
1106,244,774,482
1107,244,773,483
1108,240,775,485
1109,238,777,485
1110,237,776,487
1111,234,777,489
1112,234,776,490
1113,234,776,490
1114,231,779,490
1115,231,777,492
1116,227,778,495
1117,225,779,496
1118,224,778,498
1119,224,777,499
1120,220,780,500
1121,219,779,502
1122,219,779,502
1123,219,778,503
1124,218,779,503
1125,217,780,503
1126,215,780,505
1127,214,781,505
1128,214,781,505
1129,213,778,509
1130,209,778,513
1131,209,776,515
1132,209,776,515
1133,209,776,515
1134,208,777,515
1135,207,778,515
1136,206,778,516
1137,206,777,517
1138,204,779,517
1139,202,777,521
1140,201,777,522
1141,201,776,523
1142,201,773,526
1143,201,772,527
1144,200,772,528
1145,198,773,529
1146,197,772,531
1147,196,773,531
1148,195,770,535
1149,195,768,537
1150,195,765,540
1151,192,767,541
1152,191,765,544
1153,190,766,544
1154,190,764,546
1155,189,763,548
1156,187,763,550
1157,187,762,551
1158,186,763,551
1159,184,762,554
1160,184,759,557
1161,184,759,557
1162,184,759,557
1163,180,760,560
1164,177,763,560
1165,175,765,560
1166,175,762,563
1167,174,763,563
1168,174,763,563
1169,173,762,565
1170,173,762,565
1171,172,762,566
1172,170,761,569
1173,170,758,572
1174,169,756,575
1175,168,755,577
1176,168,753,579
1177,167,750,583
1178,165,751,584
1179,164,748,588
1180,163,747,590
1181,162,748,590
1182,162,746,592
1183,162,744,594
1184,159,746,595
